feature,importance_value,importance_type,model,rank
category_code_Social Media,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Service Providers,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_DNK,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_DEU,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_CZE,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_COL,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_CHN,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_CHL,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_CHE,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_CAN,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_BEL,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_AUT,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_AUS,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_ARG,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_ARE,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_iPhone,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_iPad,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_File Sharing,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_NLD,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_MYS,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_MEX,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_LUX,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_LTU,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_KOR,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_ITA,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_ISR,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_IRL,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_IND,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_IDN,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_HKG,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_GBR,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_FRA,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_FIN,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_ESP,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_E-Commerce,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Document Management,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Doctors,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Distribution,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Discounts,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Digital Signage,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Development Platforms,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Developer Tools,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_TWN,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_TUR,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_SWE,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_SGP,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_POL,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_PHL,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_PER,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_NOR,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_20,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_2,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_19,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_18,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_17,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_14,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_13,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_12,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_11,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_1,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_infrequent_sklearn,0.0,model_builtin,GradientBoostingClassifier,489.0
country_code_ZAF,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Email,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Electronics,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Education,0.0,model_builtin,GradientBoostingClassifier,489.0
category_code_Ediscovery,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_52,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_48,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_42,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_40,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_34,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_30,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_3,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_29,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_28,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_27,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_26,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_25,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_24,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_23,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_22,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_21,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_B9,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_B8,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_B3,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_AZ,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_AL,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_A8,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_A7,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_A6,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_9,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_8,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_78,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_71,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_66,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_6,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_56,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_ID,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_IA,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_I2,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_H3,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_G2,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_FL,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_F2,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_E7,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_DE,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_DC,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_CT,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_CO,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_C5,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_C3,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_BC,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_NH,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_NE,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_NC,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_N7,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_MO,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_MI,0.0,model_builtin,GradientBoostingClassifier,489.0
state_code_ME,0.0,model_builtin,GradientBoostingClassifier,489.0
